comment,sarc_majority
"[('will',), ('bear',), ('appears',)]",sarc
"[('have',), ('greed',), ('want',), ('do',), ('is',), ('wants',), ('match',), ('i',), ('do',), ('believe',), ('was',), ('made',), ('made',), ('are',), ('fed',), ('comes',), ('liar,',)]",non-sarc
"[('do',), ('hear',)]",sarc
"[('whipping',), ('is',), ('are',), ('tired',)]",non-sarc
"[('aware',), ('have',), ('ask',), ('can',), ('do',), ('reading',), ('can',), ('curse',), ('suspected',)]",non-sarc
"[('increased',), ('taken',)]",sarc
"[('am',), ('is',), ('want',), ('compare',), ('shall',), ('see',)]",non-sarc
"[('ha',), ('can',), ('return',), ('return',)]",sarc
"[('is',)]",sarc
"[('want',), ('is',), ('return',), ('are',), ('is',), ('imposed',), ('cover',)]",sarc
"[('believe',)]",sarc
"[('greet',), ('kah',)]",sarc
"[('pocket',)]",sarc
"[('take',)]",sarc
"[('thank',)]",non-sarc
"[('want',), ('calling',), ('delay',), ('is',), ('gonna',), ('feed',), ('i',), ('knew',)]",non-sarc
[nan],non-sarc
"[('believe',), ('pushes',)]",sarc
"[('return',)]",non-sarc
"[('go',), ('go',)]",sarc
"[('collected',), ('appears',), ('is',), ('develop',), ('is',), ('kah',), ('does',), ('have',), ('dock',), ('brim',), ('only,',), ('can',), ('think',), ('is',)]",sarc
"[(""it's"",)]",non-sarc
[nan],sarc
"[('do',), ('want',), ('want',), ('najib',), ('resign',)]",non-sarc
[nan],non-sarc
"[('do',), ('listen',), ('can',), ('trust',)]",sarc
"[('shit',), ('revealed',), ('raise',)]",non-sarc
"[('fell',)]",non-sarc
"[('keep',), ('seems',), ('is',), ('losing',), ('have',), ('invest',)]",sarc
"[('do',), ('believe',), ('piss',)]",non-sarc
"[('cabinet',), ('is',)]",non-sarc
"[('want',), ('satiate',), ('can',), ('pass',), ('is',), ('can',), ('see',), ('is',)]",non-sarc
[nan],sarc
[nan],non-sarc
"[('recall',), ('will',), ('be',), ('think',), ('is',), ('malaysia',)]",sarc
"[('kid',)]",sarc
[nan],non-sarc
"[('is',), ('have',), ('entered',), ('charts',), ('going',), ('spend',), ('goes',), ('pull',), ('is',), ('has',), ('gone',), ('is',), ('have',), ('has',), ('blasted',), ('are',), ('talking',), ('has',), ('been',), ('shattered',), ('is',), ('do',)]",non-sarc
"[('is',), ('is',), ('can',), ('change',), ('went',), ('is',)]",sarc
[nan],non-sarc
"[('can',), ('pru',), ('can',), ('have',), ('going',)]",sarc
"[('looks',), ('are',), ('facing',), ('saw',)]",sarc
"[('can',), ('be',), ('interesting',)]",non-sarc
"[('do',), ('understand',), ('go',), ('wal',), ('has',), ('try',), ('rm',)]",sarc
"[('is',)]",sarc
"[('vacuum',)]",non-sarc
"[('receive',), ('pay',)]",non-sarc
"[('need',)]",non-sarc
"[('should',), ('pay',), ('go',), ('is',), ('puii',)]",sarc
"[('hear',), ('???',)]",sarc
"[('is',), ('azan',), ('kfc',)]",sarc
"[('stretch',), ('stretch',), ('makes',)]",non-sarc
"[('tired',), ('hearing',), ('run',)]",sarc
[nan],sarc
"[('is',)]",sarc
[nan],sarc
"[('r',)]",non-sarc
[nan],sarc
"[('will',), ('tapir',)]",sarc
"[('blotted',)]",non-sarc
"[('waste',), ('masked',)]",sarc
"[('do',), ('believe',), ('oppressed',), ('was',), ('eat',)]",sarc
"[('were',), ('taking',), ('were',), ('pass',), ('shall',), ('be',), ('adopted',)]",sarc
[nan],sarc
"[('felt',), ('wanted',), ('stretch',)]",sarc
"[('trick',), ('wants',), ('rake',), ('is',), ('dredges',)]",sarc
"[('is',)]",sarc
"[('see',), ('touches',)]",sarc
"[('is',), ('strengthen',), ('began',), ('wring',), ('rosmah',)]",sarc
[nan],sarc
[nan],sarc
"[('comes',), ('being',), ('left',), ('waiting',), ('do',), ('expect',), ('is',)]",sarc
"[('does',), ('stop',), ('say',)]",sarc
"[('help',), ('said',), ('was',), ('paying',), ('have',)]",sarc
"[('will',), ('befall',)]",sarc
"[('is',)]",sarc
[nan],non-sarc
"[('is',), ('scanned',), ('was',), ('was',), ('go',), ('shopping',), ('reached',), ('try',), ('cancel',), ('incoming',), ('relieved',), ('choke',)]",sarc
[nan],non-sarc
"[('plague',)]",non-sarc
"[('wring',), ('gst',), ('hit',), ('said',), ('suffer',), ('najib',)]",sarc
"[('go',)]",sarc
[nan],sarc
"[('needs',)]",sarc
"[('has',), ('increased',)]",sarc
"[('backward',)]",sarc
"[('hear',), ('said',), ('is',), ('am',), ('be',)]",sarc
[nan],non-sarc
"[('themed',)]",sarc
"[('do',), ('see',), ('tired',)]",non-sarc
[nan],non-sarc
"[('think',), ('feels',), ('needs',), ('rose',), ('is',)]",non-sarc
"[('promises',), ('fulfilled',), ('promote',), ('promise',), ('kept',)]",sarc
"[('did',), ('create',)]",sarc
"[('going',), ('shopping',), ('should',), ('forget',)]",sarc
"[('bring',)]",non-sarc
[nan],non-sarc
"[('said',)]",sarc
"[('vote',), ('do',), ('vote',), ('feel',)]",sarc
"[('is',), ('cheating',)]",sarc
"[('take',), ('is',), ('took',)]",sarc
[nan],non-sarc
"[('needs',), ('pay',), ('congratulates',)]",sarc
"[('want',), ('scan',)]",non-sarc
"[('hit',)]",non-sarc
"[('can',), ('believe',)]",non-sarc
"[('will',), ('be',)]",sarc
[nan],non-sarc
"[('defects',), ('make',), ('is',), ('do',), ('cheat',)]",sarc
[nan],non-sarc
"[('had',), ('is',), ('live',)]",sarc
"[('was',)]",sarc
"[('stretch',), ('were',), ('is',)]",sarc
"[('can',), ('go',), ('got',)]",non-sarc
"[('realize',), ('is',), ('say',), ('is',)]",sarc
[nan],non-sarc
"[('do',), ('have',), ('said',)]",sarc
"[('is',), ('staring',)]",sarc
"[('is',), ('avoid',), ('going',), ('said',), ('wanted',), ('are',), ('going',), ('remain',), ('keep',), ('going',), ('continue',), ('go',), ('jail',)]",sarc
[nan],sarc
"[('gang',)]",sarc
[nan],sarc
[nan],sarc
"[('read',), ('read',), ('is',)]",sarc
"[('has',)]",sarc
"[('existing',), ('eat',), ('languished',)]",sarc
"[('working',), ('make',), ('panting',)]",sarc
[nan],sarc
[nan],sarc
"[('work',), ('working',), ('is',), ('tap',), ('sen',)]",non-sarc
"[('ignored',)]",non-sarc
"[('pay',), ('pay',), ('is',), ('ea',), ('is',), ('flatter',), ('vote',), ('is',)]",sarc
"[('win',)]",sarc
[nan],non-sarc
"[('is',), ('going',)]",sarc
[nan],sarc
"[('took',), ('is',), ('say',)]",sarc
[nan],sarc
"[('said',), ('rm',), ('buy',), ('dah',)]",sarc
[nan],sarc
"[('envy',)]",non-sarc
"[('is',), ('borrow',), ('increased',), ('is',), ('going',), ('noise',)]",sarc
[nan],sarc
"[('can',), ('wring',)]",sarc
[nan],sarc
"[('gives',), ('can',), ('hold',)]",sarc
"[('can',), ('was',), ('is',), ('jib',)]",sarc
"[('do',), ('want',), ('delete',), ('help',)]",non-sarc
"[('planning',), ('have',), ('believe',)]",sarc
"[('is',), ('is',), ('lift',), ('protect',)]",non-sarc
"[('pay',), ('find',), ('have',)]",non-sarc
"[('buy',)]",sarc
[nan],sarc
"[('pay',)]",sarc
"[('trying',), ('explain',), ('pm',), ('have',), ('is',), ('do',), ('pull',), ('have',), ('is',), ('do',), ('snap',)]",non-sarc
"[('okay',), ('hold',)]",sarc
