comment_eng,sarc_majority
"['people', 'bear', 'appears']",sarc
"['greed', 'money', 'people', 'want', 'big', 'spending', 'played', 'way', 'wants', 'match', 'pockets', 'citizens', 'indeed', 'believe', 'budget', 'made', 'possible', 'budget', 'previous', 'unfulfilled', 'made', 'statement', 'n', 'shock', 'people', 'fed', 'new', 'appointment', 'comes', 'rogue', 'liar', 'liar', 'liar,', 'thief', 'robber']",non-sarc
"['radio', 'television', 'lid', 'hear', 'promise', 'budget', 'invisible', 'hand']",sarc
"['yes', ""you're"", 'whipping', 'people', 'great', 'budget', 'people', 'tired', 'theatrical', 'trickery']",non-sarc
"['ooi', 'government', 'national', 'front', 'people', 'aware', 'dominion', 'money', 'ask', 'budget', 'cronies', 'people', 'people', 'misbegotten', 'friday', 'pray', 'reading', 'budget', 'barisan', 'nasional', 'curse', 'suspected']",non-sarc
"['national', 'debt', 'increased', 'taken', 'invisible', 'hand']",sarc
"['since', 'independence', 'worst', 'want', 'compare', 'previous', 'fissile', 'pm', 'shall', 'see', 'face', 'shameless']",non-sarc
"['home', 'near', 'small', 'meniaga', 'lot', 'money', 'gst', 'return', 'return', 'list', 'gst', 'alone']",sarc
['home'],sarc
"['want', 'good', 'return', 'great', 'quotes', 'first-time', 'quotes', 'time', 'return', 'payable', 'recoverable', 'frankly', 'gst', 'imposed', 'cover', 'national', 'debt']",sarc
['believe'],sarc
"['greet', 'people', 'kah', 'account']",sarc
"['return', 'pocket', 'rm']",sarc
"['haha', 'take', 'rights', 'people']",sarc
"['congratulations', 'thank', 'god']",non-sarc
"['najib', 'barua', 'want', 'people', 'calling', 'hero', 'deliberately', 'delay', 'payment', 'time', 'budget', 'gonna', 'feed', 'knew', 'toys', 'najib']",non-sarc
['winch'],non-sarc
"['believe', 'little', 'najib', 'pushes', 'back', 'double']",sarc
"['worth', 'government', 'return', 'reason', 'stupid', 'gst']",non-sarc
"['go', ""let's"", 'go', ""let's"", 'like']",sarc
"['taxes', 'collected', 'income', 'tax', 'proper', 'business', 'tax', 'assessment', 'gst', 'road', 'tax', 'appears', 'jib', 'develop', 'malaysia', 'passion', 'visible', 'tower', 'kah', 'dock', 'eggs', 'brim', 'only,', 'people', 'think', 'chat']",sarc
"['even', ""it's"", 'good', 'kind']",non-sarc
"['haha', 'funny', 'statement']",sarc
"['want', 'money,', 'want', 'najib', 'razak', 'resign']",non-sarc
['trick'],non-sarc
"['listen', 'trust']",sarc
"['shit', 'small', 'wince', 'wince', 'revealed', 'large', 'oil', 'pas', 'sen', 'sen', 'raise', 'brim', 'raise', 'toll', 'bin', 'jackass']",non-sarc
"['ringgit', 'fell', 'people']",non-sarc
"['keep', 'original', 'budget', 'n', 'sabah', 'sarawak', 'seems', 'normal', 'afraid', 'losing', 'pru', 'invest', 'close']",sarc
"['believe', 'piss', 'away']",non-sarc
"['n', 'pm', 'disappointed', 'voters', 'cabinet', 'ministers', 'people']",non-sarc
"['billion', 'project', 'want', 'satiate', 'pass', 'commission', 'kind', 'src', 'case', 'affordable', 'housing', 'see', 'less', 'tax', '-', 'less', 'ringgit', 'ringgit', 'also', 'aid', 'useless', 'najib']",non-sarc
"['self-indulgent', 'pm']",sarc
['testicles'],non-sarc
"['recall', 'year', 'people', 'work', 'think', 'safe', 'malaysia']",sarc
"['enough', 'bang', 'jib', 'kid', 'game']",sarc
"['budget', 'piss', 'people']",non-sarc
"['need', 'nak', 'budget', 'najib', 'malaysia', 'entered', 'country', 'charts', 'right', 'world', 'money', 'right', 'money', 'gst', 'billion', ""you're"", 'going', 'spend', 'income', 'tax', 'goes', 'subsidies', 'already', 'pull', 'free', 'education', 'everything', 'gone', 'longer', 'enough', 'countries', 'severe', 'currency', 'blasted', 'talking', 'stable', 'economy', 'shattered', 'perish']",non-sarc
"['grateful', 'loud', 'noise', 'facebook', 'change', 'everything', 'went', 'dissatisfaction', 'country', 'like', 'point']",sarc
['useless'],non-sarc
