comment,sarc_majority
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],non-sarc
['idsync1'],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],non-sarc
['idsync3'],sarc
[0],sarc
[0],non-sarc
[0],non-sarc
['idsync4'],sarc
[0],non-sarc
[0],sarc
['idsync5'],sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
['idsync7'],sarc
"['idsync8', 'idsync9']",sarc
[0],sarc
['idsync10'],sarc
"['idsync11', 'idsync12']",sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
[0],sarc
['idsync13'],sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
['idsync14'],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
['idsync15'],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
['idsync17'],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
['idsync18'],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
['idsync20'],sarc
[0],sarc
[0],sarc
['idsync21'],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
"['idsync22', 'idsync35']",sarc
[0],sarc
['idsync23'],sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],non-sarc
['idsync24'],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
['idsync25'],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],sarc
['idsync27'],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
"['idsync28', 'idsync29']",sarc
[0],non-sarc
['idsync30'],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
['idsync31'],sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
['idsync33'],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],sarc
[0],non-sarc
[0],sarc
[0],non-sarc
['idsync125'],non-sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
[0],non-sarc
"['idsync35', 'idsync36']",sarc
['idsync37'],sarc
[0],sarc
[0],non-sarc
[0],non-sarc
[0],sarc
['idsync38'],sarc
[0],sarc
