comment,sarc_majority
Rakyat akan tanggung lebih banyak la nampaknya,sarc
"Dah ko metedarah duit Rakyat , nak buat belanja besar la Lagi, lepas tu apa lagi cara dia nak korek poket Rakyat ,  sememengnya aku tidak percaya yang badjet itu menjadi kenyataan, kerana badjet yang lepas tidak dipenuhi sekadar buat kenyataan n syuk sendiri, kini Rakyat dah menyampah dengan janji2 baru datangnya dari penipu, pembohong, penyangak, pencuri, penyamun Dan pendusta,",non-sarc
Tutup tv n radio.... Jgn dngar janji bajet 2016 Dr tangan ghaib....,sarc
Ya lah Ko dah dera Rakyat.. Bajet besar untuk Rakyat.. Bosan la... Sandiwara.... Tipu Rakyat..,non-sarc
Oiii...kerjaan bn..ko org sdr x .? Dh lh kerajaan xde duit.ps tu ko mntk badget bsr utk kroni ko org boleh la.utk rkyt mcm haramjadah.pd hri jumaat ni sye berdoa sblm atau slps baca badget semua wakil rakyt bn dpt mushibah yg x d duga..,non-sarc
Bertambah lg hutang Negara... diambil oleh tangan ghaib...,sarc
"Sejak negara merdeka Pm inilah yg paling teruk kalau nak dibandingkan dgn Pm yg sebelumnya. Boleh belah la lu, muka tengok tak tahu malu",non-sarc
Pulang kt sape ha??yg meniaga kcil2 bnyk klua duit utk gst shaja..dpt Pulangkn plk..skli Pulangkn pd yg dftar gst je...,sarc
Pulang la sangattt,sarc
Kalau nk pulang..baik x yah kutip jer dari dulu... Masa kutip semua kene bayar..masa pulangkan adakah semua leh dpt blk... Terus terang je ler..GST dikenekan utk cover hutang negara...,sarc
Kau caya?,sarc
nak bagi balik sama sapa rakyat ka atau akaun sendiri.,sarc
Pulangkan ke poket RM....,sarc
Hahaha... Bagi ambik. Itu hak rakyat.,sarc
tahniah alhamdulillah,non-sarc
Barua kau najib.nak rakyat pggil hero ...kau sengaja tgguhkan byaran....time bajet ni la ko nak umpan .aku dh tau mainan kau najib,non-sarc
Lancauuuuu,non-sarc
Percaya la sgt dgn si najib..bg sikit je..amik balik berganda2,sarc
Xbrbaloi kerajaan pulangkn..semua naik sbb gst..semua naik bodoh!!!,non-sarc
Pi mai pi mai tang tu ja..,sarc
"byk cukai kutip...income tax,tol,cukai perniagaan,cukai pintu,gst,road tax,mcm2 lagi.....apa yg nampak jib ni bg membangunkan malaysia......makin sengsara ada la....tak nampak menara ka apa ka yg dia ni buat dok jaja brim ja pun.....bukan semua rakyat dapat .lu pikir la sendiri. sembang ja lebih",sarc
bagus ler kalau cam tu...,non-sarc
Hahahahah .statement paling lawak .,sarc
kami x nk duit kami smua nk kau najib razak letak jawatan ...,non-sarc
Tipu!!!!!!!!!!,non-sarc
Dengak boleh caya jangan,sarc
Ini taik kejap kuar kecil kejap besar...dia turunkn minyak 10 sen pas tu naikkn 15sen...bg brim pastu naikkn toll bin baholl,non-sarc
"Nilai ringgit jatuh,menyusahkan rakyat",non-sarc
Bajet nk jaga org asli n Sabah Dan Sarawak je nmpknya ....biasa LA takut kalah Pru 14 dr skrg kena labur kt mereka tu!!!!,sarc
"Jgn percayala,kaki kencing no 1 ni..",non-sarc
