comment,sarc_majority
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['punct1'],non-sarc
['nan'],sarc
['nan'],non-sarc
"['punct1', 'punct1']",sarc
['nan'],sarc
['nan'],sarc
['punct1'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
"['punct2', 'punct2', 'punct2']",non-sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
"['punct2', 'punct2', 'punct2']",non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
"['punct2', 'punct2', 'punct2']",sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['punct1'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['”'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['punct1'],sarc
['nan'],sarc
['nan'],sarc
"['punct2', 'punct2']",sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
"['punct2', 'punct2', 'punct2']",sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['punct1'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
"['punct1', 'punct1', 'punct1']",non-sarc
['nan'],non-sarc
"['punct1', 'punct1', 'punct1', 'punct1']",non-sarc
"['punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2', 'punct2']",sarc
['nan'],sarc
"['punct1', 'punct1']",sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['punct2'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['punct2'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['”'],sarc
"['punct1', 'punct1', 'punct1']",sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
"['punct2', 'punct2', 'punct2']",sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
"['punct1', 'punct1', 'punct1', 'punct1']",non-sarc
['nan'],non-sarc
['punct1'],sarc
['nan'],sarc
['punct1'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
"['punct1', 'punct1', 'punct1']",sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['punct1'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
"['punct1', 'punct1', 'punct1', 'punct1']",non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
"['punct1', 'punct1', 'punct1']",sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
"['punct1', 'punct1', 'punct1']",sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['punct1'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['punct1'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['punct2'],non-sarc
['nan'],sarc
"['punct1', 'punct1', 'punct1']",non-sarc
['nan'],sarc
['nan'],non-sarc
"['punct1', 'punct1', 'punct1']",non-sarc
['nan'],sarc
['nan'],non-sarc
"['”', 'punct1', 'punct1', 'punct1']",non-sarc
['nan'],non-sarc
"['punct2', 'punct2']",sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
"['punct1', 'punct1']",sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],sarc
"['”', 'punct2']",non-sarc
['nan'],non-sarc
['nan'],non-sarc
"['punct1', 'punct2']",non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['nan'],sarc
['nan'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
"['punct1', 'punct1', 'punct1']",sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
['punct1'],non-sarc
['nan'],non-sarc
['”'],non-sarc
['nan'],non-sarc
['nan'],sarc
['nan'],sarc
"['punct1', 'punct1', 'punct1']",sarc
['nan'],sarc
"['punct2', 'punct2', 'punct2']",non-sarc
['nan'],sarc
['nan'],sarc
['punct1'],non-sarc
['nan'],non-sarc
['nan'],sarc
