comment_mly,sarc_majority
"['rakyat', 'tanggung', 'lebih', 'la']",sarc
"['dah', 'ko', 'metedarah', 'duit', 'rakyat', 'nak', 'belanja', 'besar', 'la', 'lagi', 'lepas', 'tu', 'cara', 'dia', 'nak', 'korek', 'poket', 'rakyat', 'sememengnya', 'aku', 'percaya', 'badjet', 'itu', 'menjadi', 'kenyataan', 'badjet', 'lepas', 'dipenuhi', 'sekadar', 'kenyataan', 'n', 'syuk', 'sendiri', 'kini', 'rakyat', 'dah', 'menyampah', 'janji', 'baru', 'datangnya', 'penipu', 'pembohong', 'penyangak', 'pencuri', 'penyamun', 'pendusta']",non-sarc
"['tutup', 'tv', 'n', 'radio', 'jgn', 'dngar', 'janji', 'bajet', 'dr', 'tangan', 'ghaib']",sarc
"['ya', 'lah', 'ko', 'dah', 'dera', 'rakyat', 'bajet', 'besar', 'rakyat', 'bosan', 'la', 'sandiwara', 'tipu', 'rakyat']",non-sarc
"['oiii', 'kerjaan', 'bn', 'ko', 'org', 'sdr', 'x', 'dh', 'lh', 'kerajaan', 'xde', 'duit', 'ps', 'tu', 'ko', 'mntk', 'badget', 'bsr', 'utk', 'kroni', 'ko', 'org', 'la', 'utk', 'rkyt', 'mcm', 'haramjadah', 'pd', 'hri', 'jumaat', 'ni', 'sye', 'berdoa', 'sblm', 'slps', 'baca', 'badget', 'wakil', 'rakyt', 'bn', 'dpt', 'mushibah', 'yg', 'x', 'duga']",non-sarc
"['bertambah', 'lg', 'hutang', 'negara', 'diambil', 'tangan', 'ghaib']",sarc
"['negara', 'merdeka', 'pm', 'inilah', 'yg', 'teruk', 'nak', 'dibandingkan', 'dgn', 'pm', 'yg', 'sebelumnya', 'belah', 'la', 'lu', 'muka', 'tengok', 'tak', 'tahu', 'malu']",non-sarc
"['pulang', 'kt', 'sape', 'ha', 'yg', 'meniaga', 'kcil', 'bnyk', 'klua', 'duit', 'utk', 'gst', 'shaja', 'dpt', 'pulangkn', 'plk', 'skli', 'pulangkn', 'pd', 'yg', 'dftar', 'gst', 'je']",sarc
"['pulang', 'la', 'sangattt']",sarc
"['nk', 'pulang', 'baik', 'x', 'yah', 'kutip', 'jer', 'dulu', 'masa', 'kutip', 'kene', 'bayar', 'masa', 'pulangkan', 'adakah', 'leh', 'dpt', 'blk', 'terus', 'terang', 'je', 'ler', 'gst', 'dikenekan', 'utk', 'cover', 'hutang', 'negara']",sarc
"['kau', 'caya']",sarc
"['nak', 'balik', 'sama', 'sapa', 'rakyat', 'ka', 'akaun', 'sendiri']",sarc
"['pulangkan', 'poket', 'rm']",sarc
"['hahaha', 'ambik', 'itu', 'hak', 'rakyat']",sarc
"['tahniah', 'alhamdulillah']",non-sarc
"['barua', 'kau', 'najib', 'nak', 'rakyat', 'pggil', 'hero', 'kau', 'sengaja', 'tgguhkan', 'byaran', 'time', 'bajet', 'ni', 'la', 'ko', 'nak', 'umpan', 'aku', 'dh', 'tau', 'mainan', 'kau', 'najib']",non-sarc
['lancauuuuu'],non-sarc
"['percaya', 'la', 'sgt', 'dgn', 'si', 'najib', 'bg', 'sikit', 'je', 'amik', 'balik', 'berganda']",sarc
"['xbrbaloi', 'kerajaan', 'pulangkn', 'semua', 'naik', 'sbb', 'gst', 'semua', 'naik', 'bodoh']",non-sarc
"['pi', 'mai', 'pi', 'mai', 'tang', 'tu', 'ja']",sarc
"['byk', 'cukai', 'kutip', 'income', 'tax', 'tol', 'cukai', 'perniagaan', 'cukai', 'pintu', 'gst', 'road', 'tax', 'mcm', 'lagi', 'apa', 'yg', 'nampak', 'jib', 'ni', 'bg', 'membangunkan', 'malaysia', 'makin', 'sengsara', 'ada', 'la', 'tak', 'nampak', 'menara', 'ka', 'ka', 'yg', 'dia', 'ni', 'dok', 'jaja', 'brim', 'ja', 'pun', 'bukan', 'rakyat', 'lu', 'pikir', 'la', 'sendiri', 'sembang', 'ja', 'lebih']",sarc
"['bagus', 'ler', 'cam', 'tu']",non-sarc
"['hahahahah', 'statement', 'lawak']",sarc
"['kami', 'x', 'nk', 'duit', 'kami', 'smua', 'nk', 'kau', 'najib', 'razak', 'letak', 'jawatan']",non-sarc
['tipu'],non-sarc
"['dengak', 'caya']",sarc
"['ini', 'taik', 'kejap', 'kuar', 'kecil', 'kejap', 'besar', 'dia', 'turunkn', 'minyak', 'sen', 'pas', 'tu', 'naikkn', 'sen', 'bg', 'brim', 'pastu', 'naikkn', 'toll', 'bin', 'baholl']",non-sarc
"['nilai', 'ringgit', 'jatuh', 'menyusahkan', 'rakyat']",non-sarc
"['bajet', 'nk', 'jaga', 'org', 'asli', 'n', 'sabah', 'sarawak', 'je', 'nmpknya', 'biasa', 'la', 'takut', 'kalah', 'pru', 'dr', 'skrg', 'kena', 'labur', 'kt', 'mereka', 'tu']",sarc
"['jgn', 'percayala', 'kaki', 'kencing', 'ni']",non-sarc
"['pm', 'n', 'menteri', 'kabinet', 'sgt', 'mengecewakn', 'pengundi', 'dn', 'rakyat', 'mmg', 'sgt']",non-sarc
"['projek', 'bilion', 'hnya', 'nak', 'mengenyangkan', 'kamu', 'je', 'lulus', 'dpt', 'komisen', 'sama', 'la', 'mcm', 'kes', 'src', 'rumah', 'mampu', 'milik', 'hnya', 'mampu', 'lihat', 'kurangkan', 'tax', 'hinggit', 'tolak', 'pulak', 'bantuan', 'persekolahan', 'hinggit', 'hampeh', 'la', 'ko', 'najib']",non-sarc
"['pm', 'syok', 'sendiri']",sarc
"['ala', 'utuh']",non-sarc
"['imbas', 'kembali', 'naik', 'tahun', 'dan', 'jadi', 'rakyat', 'renungkan', 'laa', 'selamat', 'beramal', 'untuk', 'malaysia']",sarc
"['cukup', 'la', 'bang', 'jib', 'nak', 'game', 'rakyat']",sarc
"['bajet', 'kencing', 'rakyat']",non-sarc
"['tak', 'payah', 'nk', 'bajet', 'sgtlah', 'najip', 'malaysia', 'ini', 'dah', 'masuk', 'carta', 'nergara', 'yg', 'tol', 'dunia', 'duit', 'tol', 'duit', 'gst', 'bilion', 'kau', 'pigi', 'belanjakan', 'mana', 'incumtakes', 'pergi', 'subsidi', 'dah', 'tarik', 'pendidikan', 'percuma', 'x', 'ada', 'benda', 'naik', 'yg', 'x', 'cukup', 'lagi', 'negara', 'parah', 'mata', 'wang', 'jahanam', 'yg', 'kau', 'ckp', 'stabil', 'ekonomi', 'malaysia', 'ni', 'dah', 'hancur', 'binasa', 'dah', 'kau', 'kerjakan']",non-sarc
"['bersyukur', 'lah', 'ada', 'sekarang', 'ni', 'bising', 'bising', 'dlm', 'fb', 'mengubahkan', 'segalanya', 'tak', 'puas', 'hati', 'pergi', 'lah', 'negara', 'anda', 'suka', 'titik']",sarc
['haprakkkk'],non-sarc
"['bajet', 'je', 'slagi', 'engko', 'dpt', 'mbajet', 'lpas', 'pru', 'xdpt', 'dh', 'engko', 'nk', 'bajet']",sarc
"['cerita', 'atas', 'kertas', 'nampak', 'cantik', 'spt', 'seblom', 'nie', 'tp', 'hasilnya', 'kita', 'hadap', 'skrg', 'nie', 'tahun', 'nie', 'bentang', 'lg', 'ujung', 'tahun', 'depan', 'kita', 'tgk', 'rakyat', 'telentang', 'lg']",sarc
"['mcm', 'xda', 'function', 'je', 'bajet', 'nie', 'org', 'muda', 'yg', 'bergaji', 'kecil', 'xdapat', 'ape', 'menarik', 'pon']",non-sarc
"['aku', 'tak', 'faham', 'gaji', 'minimum', 'sabah', 'sarawak', 'w', 'p', 'labuan', 'rm', 'bulan', 'sedangkan', 'kat', 'sini', 'barangan', 'lebih', 'mahal', 'semenanjung', 'yg', 'dpt', 'gaji', 'minumum', 'rm', 'bulan', 'wal', 'hal', 'kakitangan', 'kerajaan', 'asal', 'luar', 'daerah', 'punyalah', 'besar', 'elaun', 'wilayah', 'gred', 'n', 'rm', 'ohhhh', 'tapi', 'cuba', 'sabah', 'sarawak', 'wp', 'labuan', 'semenanjung', 'rm', 'jak', 'pelik', 'pelik', 'really', 'unfair']",sarc
"['bajet', 'bagus', 'lah']",sarc
"['bajet', 'belanjawan', 'tiap', 'thun', 'smua', 'nya', 'utk', 'kroni', 'hampa', 'smua']",non-sarc
"['budget', 'kau', 'terima', 'derma', 'rakyat', 'bayar', 'gst', 'hari', 'ini', 'fakta']",non-sarc
"['keperluan', 'kepala', 'butoh', 'hang']",non-sarc
"['lepas', 'pru', 'kami', 'pekakkan', 'telinga', 'lantak', 'pi', 'la', 'rakyat', 'hidup', 'susah', 'asalkn', 'aku', 'kroni', 'senang', 'puihh']",sarc
"['tag', 'line', 'sblm', 'pru', 'kami', 'mendengar', 'denyut', 'nadi', 'rakyat']",sarc
"['mintak', 'la', 'ada', 'mufti', 'azan', 'kan', 'dia', 'kat', 'telinga', 'uncle', 'kfc', 'ni']",sarc
"['bentang', 'x', 'bentang', 'rakyat', 'makes', 'different']",non-sarc
"['bosan', 'dh', 'nk', 'dngar', 'bajet', 'ni', 'sama', 'je', 'lari', 'jgak', 'bajet']",sarc
"['bajet', 'b', 'muka', 'tebal', 'inci', 'tak', 'tahu', 'malu']",sarc
"['fobia', 'tul', 'la', 'tengok', 'dia', 'ni']",sarc
"['budjet', 'rosmah', 'mansur', 'cabinet', 'penjilat', 'najib']",sarc
"['lantak', 'ko', 'r', 'malas', 'nk', 'layan', 'bajet', 'najib']",non-sarc
"['bajet', 'cool']",sarc
"['ad', 'ka', 'tenuk', 'dok', 'pcaya']",sarc
"['hapuskn', 'gst']",non-sarc
"['buang', 'masa', 'bentang', 'bajet', 'penyamun', 'bertopeng', 'syaitan']",sarc
"['aku', 'xcaya', 'dgn', 'najib', 'ne', 'satu', 'rakyat', 'ditipu', 'ditindas', 'menteri', 'bawah', 'dia', 'pyn', 'makan', 'hak', 'rakyat']",sarc
"['yg', 'utk', 'rakyat', 'tu', 'lepas', 'ni', 'benda', 'naik', 'sampaikan', 'udara', 'nak', 'sedut', 'kena', 'bayar', 'kena', 'pakai', 'air', 'purifier']",sarc
"['bajet', 'kasi', 'mati', 'rakyat']",sarc
"['rasa', 'mcm', 'seram', 'sejuk', 'je', 'dia', 'nk', 'bentang', 'bajet', 'ptg', 'ni', 'huhu']",sarc
"['menipu', 'je', 'dia', 'ni', 'selagi', 'nk', 'keruk', 'duit', 'rakyat', 'selagi', 'tu', 'la', 'dia', 'keruk', 'xpk', 'org', 'ssh', 'sng', 'bodoh', 'najib', 'menteri', 'kayu']",sarc
"['mampus', 'x', 'layan']",sarc
"['nak', 'kelentongnya', 'mari', 'kita', 'tengok', 'kena']",sarc
"['bajet', 'berkenaan', 'mengukuhkan', 'kedudukannya', 'pm', 'rakyat', 'selepas', 'berberapa', 'tahun', 'dia', 'mula', 'memulas', 'tengkuk', 'rakyat', 'tembolok', 'dia', 'sirosmah', 'rambut', 'apro', 'tu']",sarc
