comment,sarc_majority
"['more', 'people', 'will', 'bear', 'it', 'appears'] ['will', 'bear', 'appears'] ['nan'] [nan] [nan]",sarc
"['have', 'greed', 'money', 'people', 'want', 'do', 'big', 'spending', 'is', 'again', 'played', 'it', 'any', 'way', 'he', 'wants', 'match', 'pockets', 'citizens', 'indeed', 'I', 'do', 'not', 'believe', 'budget', 'was', 'made', 'possible', 'budget', 'previous', 'unfulfilled', 'just', 'made', 'a', 'statement', 'n', 'shock', 'now', 'people', 'are', 'fed', 'up', 'a', 'new', 'appointment', 'comes', 'rogue', 'liar', 'liar', 'liar', 'a', 'thief', 'a', 'robber'] ['have', 'greed', 'want', 'do', 'is', 'wants', 'match', 'i', 'do', 'believe', 'was', 'made', 'made', 'are', 'fed', 'comes', 'liar'] ['nan'] ['intj53', 'intj56'] [nan]",non-sarc
"['radio', 'television', 'lid', 'do', 'not', 'hear', 'promise', 'budget', 'invisible', 'hand'] ['do', 'hear'] ['nan'] [nan] [nan]",sarc
"['yes', 'whipping', 'people', 'is', 'a', 'great', 'budget', 'people', 'are', 'tired', 'theatrical', 'trickery'] ['whipping', 'is', 'are', 'tired'] ['nan'] ['intj74'] [nan]",non-sarc
"['government', 'national', 'front', 'people', 'aware', 'not', 'have', 'dominion', 'no', 'money', 'off', 'it', 'ask', 'budget', 'cronies', 'people', 'can', 'do', 'people', 'misbegotten', 'on', 'Friday', 'I', 'pray', 'before', 'or', 'after', 'reading', 'budget', 'all', 'can', 'curse', 'not', 'suspected'] ['aware', 'have', 'ask', 'can', 'do', 'reading', 'can', 'curse', 'suspected'] ['punct1'] ['intj104', 'intj55'] [nan]",non-sarc
"['national', 'debt', 'increased', 'again', 'taken', 'by', 'invisible', 'hand'] ['increased', 'taken'] ['nan'] [nan] [nan]",sarc
"['independence', 'am', 'worst', 'is', 'want', 'compare', 'previous', 'fissile', 'pm', 'see', 'face', 'shameless'] ['am', 'is', 'want', 'compare', 'shall', 'see'] ['nan'] [nan] [nan]",non-sarc
"['home', 'near', 'small', 'who', 'ha', 'a', 'lot', 'money', 'out', 'can', 'only', 'return', 'once', 'again', 'return', 'list', 'alone'] ['ha', 'can', 'return', 'return'] ['punct1', 'punct1'] ['intj47'] ['idsync1']",sarc
"['home', 'is', 'very'] ['is'] ['nan'] [nan] [nan]",sarc
"['want', 'a', 'good', 'return', 'is', 'not', 'great', 'quotes', 'quotes', 'all', 'time', 'return', 'payable', 'are', 'all', 'recoverable', 'frankly', 'is', 'imposed', 'only', 'cover', 'national', 'debt'] ['want', 'is', 'return', 'are', 'is', 'imposed', 'cover'] ['nan'] [nan] [nan]",sarc
['believe'] ['believe'] ['punct1'] [nan] [nan],sarc
"['I', 'greet', 'people', 'same', 'or', 'own', 'account'] ['greet', 'kah'] ['nan'] [nan] [nan]",sarc
"['return', 'pocket'] ['pocket'] ['nan'] [nan] [nan]",sarc
"['take', 'rights', 'people'] ['take'] ['nan'] ['intj92'] [nan]",sarc
"['congratulations', 'thank', 'God'] ['thank'] ['nan'] [nan] [nan]",non-sarc
"['want', 'people', 'calling', 'a', 'hero', 'deliberately', 'delay', 'payment', 'time', 'budget', 'is', 'na', 'feed', 'I', 'knew', 'toys'] ['want', 'calling', 'delay', 'is', 'gonna', 'feed', 'i', 'knew'] ['nan'] [nan] [nan]",non-sarc
['winch'] ['nan'] ['nan'] [nan] [nan],non-sarc
"['I', 'believe', 'very', 'little', 'only', 'pushes', 'back', 'double'] ['believe', 'pushes'] ['nan'] [nan] [nan]",sarc
"['not', 'worth', 'government', 'return', 'all', 'more', 'reason', 'all', 'more', 'stupid'] ['return'] ['punct2', 'punct2', 'punct2'] [nan] [nan]",non-sarc
"['go', 'let', 'go', 'let', 'just', 'like'] ['go', 'go'] ['nan'] [nan] [nan]",sarc
"['taxes', 'collected', 'income', 'tax', 'proper', 'business', 'tax', 'assessment', 'road', 'tax', 'more', 'appears', 'jib', 'is', 'develop', 'Malaysia', 'more', 'passion', 'there', 'is', 'no', 'visible', 'tower', 'does', 'he', 'have', 'dock', 'Eggs', 'brim', 'only', 'not', 'all', 'people', 'can', 'think', 'is', 'own', 'chat', 'only', 'more'] ['collected', 'appears', 'is', 'develop', 'is', 'kah', 'does', 'have', 'dock', 'brim', 'only', 'can', 'think', 'is'] ['nan'] ['intj69', 'intj65', 'intj55', 'intj69'] [nan]",sarc
"['even', 'it', 'a', 'good', 'kind'] ['it', 's'] ['nan'] [nan] [nan]",non-sarc
"['very', 'funny', 'statement'] ['nan'] ['nan'] ['intj92'] [nan]",sarc
"['do', 'not', 'want', 'money', 'all', 'want', 'resign'] ['do', 'want', 'want', 'najib', 'resign'] ['nan'] [nan] [nan]",non-sarc
"['trick'] ['nan'] ['punct2', 'punct2', 'punct2'] [nan] [nan]",non-sarc
"['do', 'not', 'listen', 'can', 'trust'] ['do', 'listen', 'can', 'trust'] ['nan'] [nan] [nan]",sarc
